tubeID,type,temp,block,replicate,tray,pair,i,j,densityT,FocalSp,i.ind,FocalSp_Den,OtherSp,j.ind,OtherSp_Den,obs_count
52,inter,HOT,HOTA,HOTA1,HOT_T1,PST_BIP,PST,BIP,i4j4,PST,4,8,BIP,1,8,0
53,inter,HOT,HOTA,HOTA1,HOT_T1,PST_BIP,PST,BIP,i4j8,PST,4,8,BIP,1,16,0
54,inter,HOT,HOTA,HOTA1,HOT_T1,PST_BIP,PST,BIP,i2j4,PST,4,4,BIP,1,8,0
55,inter,HOT,HOTA,HOTA1,HOT_T1,PST_BIP,PST,BIP,i8j4,PST,4,16,BIP,1,8,0
56,inter,HOT,HOTA,HOTA2,HOT_T1,PST_BIP,PST,BIP,i4j2,PST,4,8,BIP,1,4,0
57,inter,HOT,HOTA,HOTA2,HOT_T1,PST_BIP,PST,BIP,i4j4,PST,4,8,BIP,1,8,0
58,inter,HOT,HOTA,HOTA2,HOT_T1,PST_BIP,PST,BIP,i4j8,PST,4,8,BIP,1,16,0
59,inter,HOT,HOTA,HOTA2,HOT_T1,PST_BIP,PST,BIP,i2j4,PST,4,4,BIP,1,8,0
60,inter,HOT,HOTA,HOTA2,HOT_T1,PST_BIP,PST,BIP,i8j4,PST,4,16,BIP,1,8,0
61,inter,HOT,HOTA,HOTA3,HOT_T1,PST_BIP,PST,BIP,i4j2,PST,4,8,BIP,1,4,0
62,inter,HOT,HOTA,HOTA3,HOT_T1,PST_BIP,PST,BIP,i4j4,PST,4,8,BIP,1,8,0
63,inter,HOT,HOTA,HOTA3,HOT_T1,PST_BIP,PST,BIP,i4j8,PST,4,8,BIP,1,16,0
64,inter,HOT,HOTA,HOTA3,HOT_T1,PST_BIP,PST,BIP,i2j4,PST,4,4,BIP,1,8,0
65,inter,HOT,HOTA,HOTA3,HOT_T1,PST_BIP,PST,BIP,i8j4,PST,4,16,BIP,1,8,0
66,inter,HOT,HOTB,HOTB4,HOT_T3,PST_BIP,PST,BIP,i4j2,PST,4,8,BIP,1,4,0
67,inter,HOT,HOTB,HOTB4,HOT_T3,PST_BIP,PST,BIP,i4j4,PST,4,8,BIP,1,8,0
68,inter,HOT,HOTB,HOTB4,HOT_T3,PST_BIP,PST,BIP,i4j8,PST,4,8,BIP,1,16,0
69,inter,HOT,HOTB,HOTB4,HOT_T3,PST_BIP,PST,BIP,i2j4,PST,4,4,BIP,1,8,0
70,inter,HOT,HOTB,HOTB4,HOT_T3,PST_BIP,PST,BIP,i8j4,PST,4,16,BIP,1,8,0
71,inter,HOT,HOTB,HOTB5,HOT_T3,PST_BIP,PST,BIP,i4j2,PST,4,8,BIP,1,4,0
72,inter,HOT,HOTB,HOTB5,HOT_T3,PST_BIP,PST,BIP,i4j4,PST,4,8,BIP,1,8,0
73,inter,HOT,HOTB,HOTB5,HOT_T3,PST_BIP,PST,BIP,i4j8,PST,4,8,BIP,1,16,0
